Image,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness,Class
Image1,0.19470518943890763,0.2120226081725401,0.4430740879562979,0.2748012203187199,0.06821068715913459,0.010936753906234227,0.028235727708164477,0.4754102711663436,0.24609210307247803,0.603108323685306,0.13969412907476678,0.9817643279761663,0.0,0
Image2,0.2614887312148574,0.2761236832502191,0.5101136633114296,0.6748431067473261,0.0522781163181713,0.007693378277867002,0.017951249318457988,0.797096439819062,0.6483828500885808,0.7737995555136503,0.09352729376344444,0.9974169434415279,0.0,0
Image3,0.21900324857587256,0.3923259164213085,0.6142001835912041,0.0014866531359510257,0.09061808106913169,0.01647817479572105,0.023280153761597866,0.012718883780531903,0.0011726605544576162,0.23075975674809115,0.19526103299324293,0.9728549220089544,0.0,1
Image4,0.177299540782051,0.3290068207051017,0.5597497955010982,0.0015128520891887734,0.10820181855728236,0.02155918237738488,0.04380538229382986,0.012908346111991723,0.0011923774381424831,0.1961369885812073,0.25858819860033955,0.9414745291146707,0.0,1
Image5,0.21822331428361108,0.24984037093825381,0.4836766352637251,0.3705738966410791,0.0684031205527185,0.011067289702367714,0.05083596748185325,0.5648604208461656,0.33885448121258804,0.5608623930130936,0.22667889890359572,0.9609947185817731,0.0,0
Image6,0.22452214645279464,0.20782902119655572,0.4383567788072807,0.5415984845178068,0.05261398166442686,0.007698583021717367,0.030148478604173908,0.7024618983431467,0.5102786714962493,0.6984090207944275,0.12937243664098746,0.9693848440098618,0.0,0
Image7,0.3686751700210755,0.3162925790247077,0.5482027373905133,0.3250329913318886,0.029792323612753156,0.003675480116764591,0.03314466089351037,0.5238393960187476,0.29448781529333445,0.6050239199416338,0.15468584899521368,0.965435822605178,0.0,0
Image8,0.4779911285350116,0.36692278966871655,0.5929234417813879,0.271241219715056,0.017063290045122477,0.0018816200821420758,0.027129109691093174,0.47188230951249055,0.24273512158250649,0.6049802867317248,0.1311740474237254,0.9700414378875584,0.0,0
Image9,0.5983766323403544,0.40000027310626773,0.6204919172644139,0.2390250197466087,0.006938412037529061,0.0007044262205937856,0.02681681320224853,0.43854205665414026,0.2121409216256194,0.5970163522482849,0.12325824881898198,0.9644485925567685,0.0,0
Image10,0.2532329311725245,0.3758085837212551,0.6004470104215793,0.005386190063365004,0.07073664494437623,0.011508473004981725,0.020534554035569016,0.03708980852961325,0.004250765332236838,0.36281624730806816,0.14402060267933658,0.9497381741250912,0.0,1
Image11,0.2932921049483268,0.3823588651259025,0.6059364760041414,0.003949197475887237,0.05668989647849205,0.008489054198439382,0.018669323911145508,0.029044717649490313,0.00311388227198193,0.38292597915184423,0.1453455757456034,0.9518268266855654,0.0,1
Image12,0.36934973265969134,0.39468845322645435,0.6161435694474555,0.007333786361588986,0.04959193733920388,0.007911008511417326,0.04802362707100739,0.04706584627613219,0.005825824597846361,0.3966395415041406,0.16703050191797195,0.9287904849571613,0.0,1
Image13,0.30501826748755245,0.27886380504367164,0.512796239741969,0.02259046483903874,0.04203476938041594,0.006024187709622461,0.03177326251668984,0.10364225119679144,0.018220526614662304,0.5173242829324007,0.10629966530290666,0.9021936371182258,0.0,1
Image14,0.21343097466478952,0.14111834563382072,0.3557097392007178,0.20562032292378024,0.036917009808948235,0.004639142624862557,0.035275095028449104,0.40034822715807883,0.17960511968092774,0.678165179856407,0.1057728524574163,0.8825679395321062,0.0,0
Image15,0.15719564157072813,0.14714618005198368,0.363883702690492,0.897315770390144,0.07085604665554582,0.011471481481754968,0.012922360153320916,0.9392125419210173,0.8867163275230131,0.8729859298941309,0.062347199575725945,0.9953288148869861,0.0,0
Image16,0.38283408335864244,0.338875029274439,0.5685595822770403,0.0034359903545096333,0.03736445730908259,0.005234692571441299,0.024107789779130112,0.025957736508231556,0.0027092470061323565,0.37948415811847824,0.16033219478175445,0.965107014999969,0.0,1
Image17,0.4595372850004157,0.3693055604456154,0.5949497560088431,0.009973064617156987,0.027074110657224044,0.003562534287798593,0.029311204602473117,0.05901683462048455,0.007953651205625035,0.4164285366026679,0.16090130837808986,0.9313592388308356,0.0,1
Image18,0.186001674903141,0.15692606960496006,0.37679972122309807,0.3053510870585681,0.05478252939589095,0.007914778952155782,0.027420351544850296,0.5046977541935204,0.2748439003824298,0.6439786158914513,0.1308781189424634,0.959368886336236,0.0,0
Image19,0.16198890146600062,0.11513018153705983,0.31830405426010516,0.28416807540866285,0.05361900745054405,0.0077398175039649604,0.017751791228777666,0.4833910227027972,0.25377052722403565,0.7295957704723597,0.07148220253062433,0.9629509106076699,0.0,0
Image20,0.24893708069904225,0.1625613388405657,0.3840608848127817,0.5182686881948722,0.03403770109484521,0.004392123559935286,0.020126430263557392,0.6844778628071266,0.48589609975650394,0.7760815509647617,0.08172889413716761,0.9601119737875208,0.0,0
Image21,0.18880023559077175,0.0999962607466176,0.2945650428878274,0.17549252355663306,0.036947484247118974,0.004750336255888143,0.026528828314302606,0.36584894095561693,0.15252252125943047,0.5932085452462411,0.12658042938275016,0.8767207185341994,0.0,0
Image22,0.04226645684363593,0.020274092566339594,0.1170305043263865,0.33321815033580743,0.11580741546546416,0.02416103884833705,0.024604867220210627,0.531128666059569,0.3021455065113134,0.6089493979469061,0.11767724516563768,0.8234233239296516,0.0,0
Image23,0.13351094668838523,0.09550803798605831,0.28718767292011116,0.33623564567960984,0.06469112266744001,0.010108680061612689,0.0146061748701397,0.5336605843981059,0.30482826007305963,0.6742997435106554,0.08585491928426485,0.9726315170086934,0.0,0
